epoch,train_loss,valid_loss,error_rate,accuracy,time
0,3.916853,3.238929,0.912821,0.087179,02:15
1,3.323652,3.030452,0.878974,0.121026,01:51
2,2.611551,3.107141,0.881026,0.118974,01:51
3,1.993753,3.167497,0.866154,0.133846,01:51
4,1.514857,3.315348,0.865385,0.134615,01:51
5,1.130940,3.519814,0.868718,0.131282,01:50
6,0.843716,3.560786,0.863077,0.136923,01:50
7,0.627924,3.606854,0.864103,0.135897,01:50
8,0.484561,3.630849,0.862051,0.137949,01:51
9,0.386335,3.619868,0.861795,0.138205,01:50
