Step,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
4.0,0.25,0.25,0.21496116176967242,0.07142857142857144,0.19047619047619047,0.3829787234042554
3.0,0.2708333333333333,0.2708333333333333,0.2607118758434548,0.3125,0.15384615384615385,0.3157894736842105
3.0,0.375,0.375,0.3685636856368564,0.43902439024390244,0.36363636363636365,0.30303030303030304
7.0,0.3333333333333333,0.3333333333333333,0.3255131362889983,0.3125,0.45714285714285713,0.20689655172413793
10.0,0.3125,0.3125,0.29914529914529914,0.26666666666666666,0.23076923076923075,0.4
10.0,0.4791666666666667,0.4791666666666667,0.48069636456733233,0.45714285714285713,0.45161290322580644,0.5333333333333333
3.0,0.4583333333333333,0.4583333333333333,0.4082792207792208,0.5714285714285714,0.09090909090909091,0.5625
5.0,0.3541666666666667,0.3541666666666667,0.31886039886039885,0.4888888888888889,0.16,0.3076923076923077
3.0,0.5208333333333334,0.5208333333333334,0.5237889983579639,0.45714285714285713,0.5517241379310345,0.5625
10.0,0.3541666666666667,0.3541666666666667,0.3404344193817878,0.47368421052631576,0.21428571428571427,0.3333333333333333
4.0,0.3333333333333333,0.3333333333333333,0.34396147299373103,0.38709677419354843,0.42857142857142855,0.2162162162162162
9.0,0.4791666666666667,0.4791666666666667,0.47755991285403043,0.4444444444444444,0.5882352941176471,0.39999999999999997
3.0,0.3333333333333333,0.3333333333333333,0.3313131313131313,0.3636363636363636,0.3636363636363636,0.26666666666666666
4.0,0.3958333333333333,0.3958333333333333,0.3786646957378665,0.43902439024390244,0.2727272727272727,0.42424242424242425
2.0,0.4583333333333333,0.4583333333333333,0.3941798941798942,0.5,0.1111111111111111,0.5714285714285714
2.0,0.4583333333333333,0.4583333333333333,0.4556364351760771,0.47058823529411764,0.43478260869565216,0.46153846153846156
10.0,0.3333333333333333,0.3333333333333333,0.31706644609870416,0.38709677419354843,0.15384615384615385,0.41025641025641024
3.0,0.4166666666666667,0.4166666666666667,0.41469750293279706,0.38888888888888884,0.38461538461538464,0.47058823529411764
6.0,0.3125,0.3125,0.3138211382113821,0.39999999999999997,0.19999999999999998,0.34146341463414637
8.0,0.3541666666666667,0.3541666666666667,0.35339105339105337,0.39999999999999997,0.35714285714285715,0.30303030303030304
3.0,0.4166666666666667,0.4166666666666667,0.35972850678733037,0.46153846153846156,0.11764705882352941,0.5
6.0,0.4791666666666667,0.4791666666666667,0.47699968876439464,0.5294117647058824,0.45714285714285713,0.4444444444444444
10.0,0.3125,0.3125,0.2991452991452992,0.28571428571428575,0.23076923076923075,0.380952380952381
9.0,0.3125,0.3125,0.30718218218218213,0.375,0.2222222222222222,0.3243243243243243
8.0,0.4791666666666667,0.4791666666666667,0.4736667702184943,0.5405405405405405,0.41379310344827586,0.4666666666666667
2.0,0.4583333333333333,0.4583333333333333,0.0,0.5581395348837209,0.0,0.5882352941176471
4.0,0.4791666666666667,0.4791666666666667,0.47030363697030353,0.5,0.3703703703703703,0.5405405405405405
10.0,0.3958333333333333,0.3958333333333333,0.3983041865394807,0.39999999999999997,0.47058823529411764,0.3243243243243243
4.0,0.3125,0.3125,0.31870297008950094,0.3703703703703703,0.2631578947368421,0.3225806451612903
7.0,0.3541666666666667,0.3541666666666667,0.34720927824376097,0.4324324324324324,0.27586206896551724,0.3333333333333333
9.0,0.5208333333333334,0.5208333333333334,0.5121951219512195,0.39999999999999997,0.6000000000000001,0.5365853658536586
10.0,0.3958333333333333,0.3958333333333333,0.38247863247863245,0.4666666666666667,0.23076923076923075,0.45
10.0,0.3541666666666667,0.3541666666666667,0.33303303303303305,0.16666666666666666,0.39999999999999997,0.4324324324324324
10.0,0.3125,0.3125,0.30459192223898107,0.23076923076923075,0.29411764705882354,0.38888888888888884
5.0,0.4583333333333333,0.4583333333333333,0.40585698480435317,0.47368421052631576,0.09523809523809523,0.6486486486486486
8.0,0.3958333333333333,0.3958333333333333,0.37941706412294646,0.411764705882353,0.24000000000000005,0.4864864864864864
1.0,0.4375,0.4375,0.0,0.52,0.0,0.5333333333333333
3.0,0.375,0.375,0.3565283400809716,0.5263157894736842,0.3125,0.23076923076923075
3.0,0.4166666666666667,0.4166666666666667,0.39706629706629704,0.37837837837837834,0.3,0.5128205128205128
4.0,0.4375,0.4375,0.4300407728399615,0.5294117647058824,0.27586206896551724,0.48484848484848486
3.0,0.375,0.375,0.3214573268921095,0.375,0.1111111111111111,0.47826086956521735
10.0,0.4166666666666667,0.4166666666666667,0.4089635854341737,0.5294117647058824,0.28571428571428575,0.411764705882353
3.0,0.3333333333333333,0.3333333333333333,0.3315343915343915,0.2857142857142857,0.32,0.38888888888888884
5.0,0.3541666666666667,0.3541666666666667,0.329173202391507,0.38709677419354843,0.18181818181818182,0.4186046511627907
7.0,0.5,0.5,0.4961149961149962,0.42424242424242425,0.5,0.5641025641025642
2.0,0.375,0.375,0.317356572258533,0.3703703703703703,0.1111111111111111,0.47058823529411753
10.0,0.3541666666666667,0.3541666666666667,0.34268167431721475,0.47368421052631576,0.2962962962962963,0.2580645161290323
3.0,0.4166666666666667,0.4166666666666667,0.3739177874238004,0.5531914893617021,0.3076923076923077,0.26086956521739124
7.0,0.3958333333333333,0.3958333333333333,0.3893024538185828,0.4615384615384615,0.5128205128205128,0.19354838709677422
10.0,0.4166666666666667,0.4166666666666667,0.41038378503007816,0.3703703703703703,0.38709677419354843,0.47368421052631576
3.0,0.4166666666666667,0.4166666666666667,0.3812652844231792,0.5789473684210527,0.08,0.48484848484848486
9.0,0.375,0.375,0.3737373737373737,0.42424242424242425,0.3333333333333333,0.3636363636363636
3.0,0.4166666666666667,0.4166666666666667,0.39051226551226553,0.5238095238095238,0.2727272727272727,0.375
4.0,0.2916666666666667,0.2916666666666667,0.2614035087719298,0.3684210526315789,0.1,0.3157894736842105
7.0,0.375,0.375,0.36892230576441104,0.4210526315789474,0.39999999999999997,0.28571428571428575
7.0,0.4583333333333333,0.4583333333333333,0.3943469785575049,0.5777777777777777,0.10526315789473684,0.5
9.0,0.5208333333333334,0.5208333333333334,0.49527019436018427,0.6046511627906976,0.5333333333333333,0.34782608695652173
10.0,0.4583333333333333,0.4583333333333333,0.4591338259441708,0.4827586206896552,0.45714285714285713,0.4375
4.0,0.5,0.5,0.48382771912183675,0.5555555555555556,0.5882352941176471,0.3076923076923077
3.0,0.4166666666666667,0.4166666666666667,0.4149272612270714,0.47058823529411764,0.45161290322580644,0.3225806451612903
4.0,0.4375,0.4375,0.41704292527821946,0.47058823529411764,0.24000000000000005,0.5405405405405405
3.0,0.3125,0.3125,0.31445731445731445,0.2857142857142857,0.3333333333333333,0.3243243243243243
3.0,0.5833333333333334,0.5833333333333334,0.529074529074529,0.7027027027027026,0.18181818181818182,0.7027027027027026
4.0,0.4375,0.4375,0.4187747035573122,0.5454545454545455,0.26086956521739124,0.45
3.0,0.3958333333333333,0.3958333333333333,0.3565445959190947,0.5581395348837209,0.16666666666666666,0.3448275862068966
4.0,0.375,0.375,0.36300309597523217,0.47058823529411764,0.3684210526315789,0.25
3.0,0.4375,0.4375,0.4011857707509882,0.5,0.18181818181818182,0.5217391304347827
3.0,0.3958333333333333,0.3958333333333333,0.3684552845528455,0.19999999999999998,0.5853658536585366,0.32
9.0,0.3333333333333333,0.3333333333333333,0.32120209539564376,0.3225806451612903,0.23076923076923075,0.41025641025641024
3.0,0.6041666666666666,0.6041666666666666,0.5995726495726496,0.65,0.6153846153846154,0.5333333333333333
3.0,0.3958333333333333,0.3958333333333333,0.38261093911248717,0.3684210526315789,0.25,0.5294117647058824
5.0,0.375,0.375,0.3630443630443631,0.4444444444444445,0.2857142857142857,0.358974358974359
5.0,0.3333333333333333,0.3333333333333333,0.3080657127715951,0.4324324324324324,0.08,0.411764705882353
8.0,0.5,0.5,0.5034401709401709,0.4375,0.56,0.5128205128205128
5.0,0.5,0.5,0.4996004671461061,0.47058823529411764,0.4827586206896552,0.5454545454545455
8.0,0.4166666666666667,0.4166666666666667,0.40277777777777773,0.375,0.3333333333333333,0.5
5.0,0.2916666666666667,0.2916666666666667,0.2878028404344194,0.3157894736842105,0.3333333333333333,0.21428571428571427
2.0,0.3958333333333333,0.3958333333333333,0.33841269841269844,0.39999999999999997,0.09523809523809523,0.52
7.0,0.4375,0.4375,0.4383442265795207,0.47058823529411764,0.4444444444444444,0.39999999999999997
