Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
7.0,1.0620617866516113,1.0992337465286255,0.375,0.375,0.35694725028058355,0.32,0.45454545454545453,0.2962962962962963
4.0,1.0800666809082031,1.0974143743515015,0.4583333333333333,0.4583333333333333,0.45929048550016294,0.4375,0.42424242424242425,0.5161290322580646
46.0,0.9244966506958008,1.0798922777175903,0.4583333333333333,0.4583333333333333,0.43767195767195766,0.4444444444444445,0.24000000000000005,0.6285714285714286
11.0,1.0461132526397705,1.0925170183181763,0.5208333333333334,0.5208333333333334,0.5269855108564786,0.45161290322580644,0.4864864864864864,0.6428571428571429
24.0,0.9843722581863403,1.091290831565857,0.4375,0.4375,0.41227344992050874,0.7027027027027026,0.29411764705882354,0.24000000000000005
9.0,1.0518717765808105,1.0929423570632935,0.5208333333333334,0.5208333333333334,0.5095238095238095,0.42857142857142855,0.5,0.6
74.0,0.8583530783653259,1.109918236732483,0.375,0.375,0.3595257788806176,0.5128205128205128,0.2580645161290323,0.3076923076923077
4.0,1.08194899559021,1.0966027975082397,0.4791666666666667,0.4791666666666667,0.43017127799736493,0.18181818181818182,0.608695652173913,0.5
5.0,1.0748258829116821,1.098776936531067,0.3541666666666667,0.3541666666666667,0.3198860398860399,0.4888888888888889,0.23076923076923075,0.24000000000000005
15.0,1.0288002490997314,1.0914654731750488,0.4166666666666667,0.4166666666666667,0.4138888888888889,0.375,0.45,0.4166666666666667
8.0,1.061140775680542,1.093220591545105,0.4375,0.4375,0.4458128078817734,0.5517241379310345,0.2857142857142857,0.5
56.0,0.9004109501838684,1.075394630432129,0.5,0.5,0.502001718753275,0.5263157894736842,0.38709677419354843,0.5925925925925926
51.0,0.90406733751297,1.094394326210022,0.375,0.375,0.358875128998968,0.35294117647058826,0.47368421052631576,0.25
8.0,1.059278130531311,1.094443917274475,0.4375,0.4375,0.43430534607005195,0.38461538461538464,0.5294117647058824,0.38888888888888884
25.0,1.0050157308578491,1.0859819650650024,0.4583333333333333,0.4583333333333333,0.4593073593073593,0.5142857142857142,0.5,0.3636363636363636
7.0,1.0710492134094238,1.0958603620529175,0.4166666666666667,0.4166666666666667,0.4229093346740405,0.4615384615384615,0.5294117647058824,0.2777777777777778
16.0,1.0286916494369507,1.1016231775283813,0.3125,0.3125,0.2782608695652174,0.43478260869565216,0.19999999999999998,0.2
