Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
61.0,0.12586678564548492,1.396621584892273,0.4166666666666667,0.4166666666666667,0.41591880341880344,0.41025641025641024,0.39999999999999997,0.4375
28.0,0.46816983819007874,1.2286152839660645,0.4166666666666667,0.4166666666666667,0.4132252055790287,0.34782608695652173,0.4827586206896552,0.40909090909090917
57.0,0.584229052066803,1.2425196170806885,0.3958333333333333,0.3958333333333333,0.39091242371309654,0.39024390243902435,0.23076923076923075,0.5517241379310345
75.0,0.07321243733167648,1.9390586614608765,0.375,0.375,0.34433621933621933,0.18181818181818182,0.4761904761904762,0.375
11.0,0.7102360725402832,1.1827210187911987,0.375,0.375,0.34722222222222227,0.4166666666666667,0.4583333333333333,0.16666666666666666
77.0,0.1752573400735855,1.5951329469680786,0.4583333333333333,0.4583333333333333,0.4444758140410315,0.35714285714285715,0.45454545454545453,0.5217391304347827
17.0,0.7376373410224915,1.1068239212036133,0.5,0.5,0.4905901116427432,0.5263157894736842,0.5454545454545455,0.39999999999999997
55.0,0.3849051892757416,1.7142995595932007,0.4583333333333333,0.4583333333333333,0.3985605038236617,0.5641025641025642,0.5263157894736842,0.10526315789473684
7.0,0.9626848101615906,1.0751129388809204,0.5416666666666666,0.5416666666666666,0.5300137598899209,0.4166666666666667,0.5263157894736842,0.6470588235294118
8.0,1.0119162797927856,1.116868495941162,0.375,0.375,0.36772486772486773,0.21428571428571427,0.38888888888888884,0.5
12.0,0.9701815247535706,1.1435003280639648,0.3541666666666667,0.3541666666666667,0.3415629984051037,0.3636363636363636,0.4210526315789474,0.24000000000000005
67.0,0.3078310191631317,1.3992482423782349,0.4166666666666667,0.4166666666666667,0.4151268785415127,0.30303030303030304,0.48780487804878053,0.45454545454545453
37.0,0.573951780796051,1.1779392957687378,0.5,0.5,0.48951048951048953,0.5384615384615384,0.38461538461538464,0.5454545454545454
22.0,0.6721237301826477,1.1912466287612915,0.375,0.375,0.3707010582010582,0.38888888888888884,0.4375,0.28571428571428575
5.0,0.9804927706718445,1.0691946744918823,0.5208333333333334,0.5208333333333334,0.4683736367946894,0.21052631578947367,0.6,0.5945945945945946
73.0,0.4358854293823242,1.1183557510375977,0.5,0.5,0.49893252248172354,0.3448275862068966,0.5365853658536586,0.6153846153846154
54.0,0.3412712812423706,1.3238728046417236,0.3958333333333333,0.3958333333333333,0.39671436142024374,0.37837837837837834,0.411764705882353,0.39999999999999997
85.0,0.36322081089019775,1.2689554691314697,0.25,0.25,0.23314413484692123,0.35294117647058826,0.2631578947368421,0.08333333333333333
20.0,0.722334623336792,1.191243052482605,0.4375,0.4375,0.42826005729231537,0.38709677419354843,0.5405405405405405,0.35714285714285715
28.0,0.5502510070800781,0.9959467053413391,0.4791666666666667,0.4791666666666667,0.47955421484833244,0.4615384615384615,0.38888888888888884,0.5882352941176471
17.0,0.8714646697044373,1.1565277576446533,0.4166666666666667,0.4166666666666667,0.4050659855257556,0.3448275862068966,0.5,0.3703703703703703
62.0,0.20522363483905792,1.622828483581543,0.5,0.5,0.48111317254174396,0.2727272727272727,0.5306122448979591,0.64
9.0,0.8229777812957764,1.1824597120285034,0.375,0.375,0.3186379928315412,0.3225806451612903,0.1,0.5333333333333333
