epoch,train_loss,valid_loss,error_rate,accuracy,time
0,1.947802,2.003636,0.676204,0.323796,13:57
1,1.931939,2.007854,0.694741,0.305259,10:07
2,1.905056,2.010018,0.674793,0.325207,09:16
3,1.884487,2.014265,0.670965,0.329035,08:39
4,1.875248,2.022545,0.682853,0.317147,09:28
5,1.854226,2.036743,0.700987,0.299013,09:25
6,1.825265,2.044627,0.697159,0.302841,08:09
7,1.816787,2.043855,0.701995,0.298005,07:14
8,1.808028,2.055229,0.694137,0.305863,06:48
9,1.805183,2.071946,0.713681,0.286319,05:54
10,1.795757,2.060999,0.697763,0.302237,05:30
11,1.789593,2.095309,0.738868,0.261132,05:39
12,1.783008,2.058682,0.689905,0.310095,06:13
13,1.788187,2.053921,0.691114,0.308886,05:43
14,1.778137,2.055947,0.704413,0.295587,05:28
15,1.766858,2.072285,0.705219,0.294781,05:51
16,1.768830,2.083515,0.703405,0.296595,07:06
17,1.762331,2.097103,0.712271,0.287729,05:40
18,1.754994,2.072315,0.696957,0.303043,05:29
19,1.742837,2.065604,0.666734,0.333266,05:28
20,1.736853,2.067928,0.670562,0.329438,05:47
21,1.732395,2.065983,0.670361,0.329639,05:49
22,1.733705,2.078407,0.666935,0.333065,06:28
23,1.721372,2.078933,0.662906,0.337094,07:16
24,1.726110,2.077357,0.666734,0.333266,06:20
25,1.720001,2.099750,0.662100,0.337900,07:30
26,1.716733,2.063159,0.632682,0.367318,07:55
27,1.707519,2.064845,0.654040,0.345960,06:08
28,1.710876,2.077548,0.653435,0.346565,05:53
29,1.707891,2.077228,0.647391,0.352609,05:40
30,1.700716,2.066989,0.644973,0.355027,05:45
31,1.701505,2.069224,0.634495,0.365505,05:46
32,1.695187,2.069606,0.633689,0.366311,05:39
33,1.692811,2.064879,0.623816,0.376184,06:26
34,1.696285,2.064672,0.626637,0.373363,05:33
35,1.689925,2.085719,0.621600,0.378400,05:34
36,1.691475,2.067879,0.632279,0.367721,05:34
37,1.686064,2.056719,0.626839,0.373161,05:50
38,1.687449,2.067731,0.621600,0.378400,05:44
39,1.682625,2.087071,0.636309,0.363691,07:03
40,1.678018,2.073631,0.618376,0.381624,05:41
41,1.682486,2.063099,0.611525,0.388475,07:09
42,1.680073,2.078763,0.623413,0.376587,07:24
43,1.679425,2.067323,0.620391,0.379609,05:49
44,1.674559,2.071685,0.623212,0.376788,05:28
45,1.675028,2.062854,0.610518,0.389482,06:04
46,1.676121,2.064623,0.609107,0.390893,07:27
47,1.675899,2.063616,0.611727,0.388273,11:20
48,1.674759,2.062632,0.610316,0.389684,06:49
49,1.671048,2.068234,0.611727,0.388273,05:31
50,1.672701,2.060957,0.600242,0.399758,06:09
51,1.670105,2.062038,0.606690,0.393310,06:29
52,1.670371,2.060754,0.611727,0.388273,05:37
53,1.674623,2.060623,0.612734,0.387266,06:33
54,1.669343,2.059186,0.606287,0.393713,05:39
55,1.670106,2.060082,0.610719,0.389281,13:01
56,1.671427,2.061989,0.608100,0.391900,13:39
57,1.667808,2.057069,0.606690,0.393310,15:01
58,1.669085,2.055135,0.606488,0.393512,11:08
59,1.672435,2.060405,0.613540,0.386460,10:29
