Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1,3 F1,4 F1,5 F1
1.0,1.8205570815777292,1.7822274261591387,0.2093989769820972,0.2220416612338454,0.18880220214651475,0.18199233716475094,0.1747930082796688,0.0802675585284281,0.24517593643586832,0.33516148689823283,0.11542288557213932
2.0,1.75022860814114,1.7590364509699297,0.2976342710997442,0.23222805110483494,0.22349024525408087,0.15351351351351353,0.30564362714013954,0.06190476190476191,0.2917594654788419,0.43581241117953573,0.09230769230769231
3.0,1.713031462260655,1.7539860496715622,0.22826086956521738,0.24198281253965515,0.1984924352745999,0.11139240506329112,0.2444273635664873,0.04958677685950413,0.3311258278145695,0.31713900134952766,0.13728323699421965
4.0,1.6800432746507683,1.731569842416413,0.29571611253196933,0.25558792540285796,0.24309748453015026,0.20804710500490675,0.2958665699782451,0.0746268656716418,0.328125,0.42798774259448413,0.12393162393162394
5.0,1.656068398028004,1.7293001097075793,0.24936061381074168,0.26182976466249747,0.22925227953202357,0.22396856581532418,0.2909604519774011,0.07465618860510806,0.33587786259541985,0.30530035335689043,0.14475025484199797
6.0,1.632871660650993,1.7218765555595865,0.3145780051150895,0.2730668381962211,0.2574943394357682,0.33164556962025316,0.24500434404865334,0.06853582554517133,0.382522671063479,0.3871763255240444,0.13008130081300812
7.0,1.610013630317182,1.7174599073371108,0.270460358056266,0.265540749298845,0.23708547858257525,0.27473426001635326,0.21606118546845124,0.06420545746388444,0.3805668016194332,0.3583278035832781,0.12861736334405147
8.0,1.5902395728899508,1.7149652023704685,0.3104219948849105,0.27575076617809247,0.26037033016533817,0.2884310618066561,0.31873653984206746,0.062111801242236024,0.39666666666666667,0.3694102397926117,0.12686567164179105
9.0,1.5716101466392984,1.7066210897601382,0.30498721227621484,0.26830131750193353,0.2524165911122968,0.21855670103092784,0.2833742833742834,0.04669260700389106,0.3880851063829787,0.43962159154145797,0.13816925734024177
10.0,1.5559411930794618,1.7124072240323436,0.3078644501278772,0.2826553986693337,0.266310128607495,0.3024939662107804,0.36010362694300513,0.058201058201058205,0.37782340862423,0.34812760055478503,0.1511111111111111
