Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
1.0,1.1112766116857529,1.1030941811283077,0.45666666666666667,0.4566666666666667,0.0,0.0,0.52317880794702,0.5858585858585857
2.0,1.0692033916711807,1.092710678556324,0.41888888888888887,0.4188888888888889,0.393592847496502,0.241014799154334,0.35472972972972977,0.5850340136054422
3.0,1.0266163349151611,1.0845095562723885,0.42333333333333334,0.42333333333333334,0.40006395298457526,0.31287128712871287,0.29562043795620435,0.5917001338688086
4.0,0.9723411202430725,1.0799303524262083,0.45222222222222225,0.45222222222222225,0.4321431226354402,0.2746987951807229,0.4260515603799186,0.5956790123456791
5.0,0.9119986444711685,1.0499916366771258,0.49,0.49000000000000005,0.4688300622470643,0.39194139194139194,0.33771106941838647,0.6768377253814147
6.0,0.8254256173968315,0.9822804859254213,0.5522222222222222,0.5522222222222223,0.5121806422380807,0.32,0.5244299674267101,0.6921119592875319
7.0,0.7191928252577782,0.9207721141587316,0.6244444444444445,0.6244444444444445,0.6067093591722822,0.4297520661157025,0.5819295558958651,0.8084464555052789
8.0,0.6296499520540237,0.8805077228925925,0.6155555555555555,0.6155555555555555,0.6009266559407898,0.48496240601503754,0.5294117647058824,0.7884057971014493
9.0,0.5187167711555958,0.8144167002323455,0.6511111111111111,0.6511111111111111,0.6447731625740459,0.5667752442996742,0.5355191256830601,0.8320251177394035
10.0,0.4147994630038738,0.758675476091098,0.6644444444444444,0.6644444444444444,0.6649629708672125,0.5855161787365177,0.5464285714285715,0.8629441624365483
11.0,0.3151301369071007,0.7669663118050162,0.6444444444444445,0.6444444444444444,0.641415236255904,0.5735963581183613,0.4935064935064935,0.8571428571428571
12.0,0.26084931194782257,0.7342395734997977,0.6655555555555556,0.6655555555555556,0.6660125203021477,0.5601374570446735,0.5874799357945425,0.8504201680672269
13.0,0.2006959207355976,0.7594630607461508,0.6622222222222223,0.6622222222222223,0.6445221910621424,0.6329113924050633,0.4615384615384615,0.8391167192429022
14.0,0.16765657160431147,0.681929782296704,0.7011111111111111,0.7011111111111111,0.6993200504403486,0.6219312602291325,0.6226086956521739,0.8534201954397393
15.0,0.13210536818951368,0.6799621210161564,0.7044444444444444,0.7044444444444444,0.7020961243617353,0.6184873949579833,0.6348122866894197,0.852988691437803
16.0,0.11008136440068483,0.7062612015061673,0.7011111111111111,0.7011111111111111,0.6965565583052472,0.6435331230283912,0.5962962962962962,0.8498402555910542
17.0,0.0888697411864996,0.7146896280809841,0.7044444444444444,0.7044444444444444,0.6991195461478957,0.6489859594383776,0.5962264150943396,0.8521462639109698
18.0,0.0719754034653306,0.6857591419093376,0.7244444444444444,0.7244444444444444,0.723446399878652,0.6429780033840948,0.6622296173044925,0.8651315789473685
19.0,0.06157971080392599,0.6974019094378547,0.7188888888888889,0.7188888888888889,0.7199302601229007,0.6385135135135135,0.6655896607431342,0.8556876061120544
20.0,0.05312367342412472,0.715895873585106,0.7211111111111111,0.721111111111111,0.7213405587396581,0.6546644844517184,0.6565143824027072,0.8528428093645484
21.0,0.05318901175633073,0.7838400036624048,0.7144444444444444,0.7144444444444445,0.7064969553146518,0.6842105263157895,0.5818181818181819,0.8534621578099839
22.0,0.04363438254222274,0.7167719981707303,0.73,0.73,0.7301846819312185,0.6791277258566978,0.6595744680851063,0.8518518518518519
23.0,0.039182158187031746,0.717217033778408,0.73,0.73,0.731534828873795,0.6644067796610169,0.6794258373205743,0.8507718696397941
24.0,0.03578118933364749,0.7338493871543788,0.7288888888888889,0.728888888888889,0.729667587519755,0.6699507389162562,0.674457429048414,0.8445945945945946
25.0,0.03103524656035006,0.7537083328264741,0.7366666666666667,0.7366666666666667,0.7365833930471414,0.6914728682170542,0.6678571428571428,0.8504201680672269
26.0,0.02845373610034585,0.767833285264473,0.74,0.7399999999999999,0.7391545134860141,0.6886792452830188,0.6678571428571428,0.8609271523178809
27.0,0.025992988841608167,0.7844427801602709,0.7377777777777778,0.7377777777777778,0.736433436372485,0.6775777414075286,0.6689774696707106,0.8627450980392156
28.0,0.02523925807327032,0.8051556588142319,0.7344444444444445,0.7344444444444446,0.7320900692492615,0.6766169154228856,0.6643478260869566,0.855305466237942
29.0,0.020833496935665607,0.8206100839033591,0.7388888888888889,0.7388888888888889,0.7356333721128641,0.6955128205128206,0.6569872958257714,0.8543999999999999
30.0,0.020155498874373734,0.8321440472407678,0.7388888888888889,0.7388888888888889,0.7353995801270484,0.6944000000000001,0.6569343065693432,0.8548644338118022
31.0,0.018679098458960652,0.8519964908307369,0.7322222222222222,0.7322222222222222,0.728767738354195,0.6866141732283464,0.6457564575645757,0.8539325842696629
32.0,0.01774211460724473,0.8683812768915585,0.7322222222222222,0.7322222222222222,0.7283850306770511,0.6944444444444444,0.6390977443609023,0.8516129032258064
33.0,0.015189260710030794,0.8760986913786789,0.7333333333333333,0.7333333333333333,0.7300767543998123,0.6912442396313365,0.6404494382022471,0.8585365853658538
34.0,0.01494058733806014,0.8778664794445565,0.7344444444444445,0.7344444444444443,0.7315493500124938,0.6907378335949764,0.6495412844036696,0.8543689320388349
35.0,0.012292874278500676,0.8770375537595391,0.7355555555555555,0.7355555555555556,0.7330622864094337,0.6920634920634922,0.6546112115732369,0.852512155591572
36.0,0.012390079675242305,0.8854500548172314,0.7344444444444445,0.7344444444444443,0.731954685185467,0.6908517350157728,0.6497277676950998,0.8552845528455285
37.0,0.011647687410004437,0.8980697484571586,0.7355555555555555,0.7355555555555555,0.732835598212262,0.6885758998435055,0.6495412844036696,0.8603896103896104
38.0,0.01052722125314176,0.906087092115684,0.7355555555555555,0.7355555555555555,0.7327500886540284,0.6859903381642511,0.6642599277978339,0.848
39.0,0.009500454645603895,0.9133956261902256,0.7355555555555555,0.7355555555555555,0.732771474382536,0.6839546191247974,0.6690647482014388,0.8452950558213715
