Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1,3 F1,4 F1,5 F1
1.0,1.783196774064278,1.7700110552262287,0.2979539641943734,0.24000798591168468,0.21440542129926018,0.051948051948051945,0.3559563360227812,0.06201550387596899,0.2643979057591623,0.42644628099173554,0.12566844919786097
2.0,1.758912417353416,1.752999454128499,0.3321611253196931,0.24959973814317649,0.2275859275182084,0.15815085158150852,0.29085222830336205,0.04013377926421404,0.37144938091769847,0.4776255707762557,0.027303754266211604
3.0,1.744961905236147,1.745131903765153,0.34175191815856776,0.25553436047029515,0.2303685426523042,0.08033240997229918,0.32545931758530183,0.06369426751592357,0.3697996918335902,0.47882300490414625,0.0641025641025641
4.0,1.7369462044871584,1.738517240602143,0.30850383631713557,0.2754274447570778,0.24613126629349547,0.20740740740740743,0.2901639344262295,0.058333333333333334,0.39492063492063495,0.4033816425120773,0.12258064516129032
5.0,1.7300701670500698,1.7329710794954885,0.3423913043478261,0.28503940365826114,0.2687324499466218,0.26133333333333336,0.28936170212765955,0.06451612903225806,0.4151515151515151,0.44773074961754206,0.13430127041742287
6.0,1.7264914549126917,1.7284135210270783,0.3452685421994885,0.2769088768573738,0.2681297076288711,0.22626262626262625,0.33041132838840187,0.07430340557275542,0.41379310344827586,0.4640077821011673,0.1
7.0,1.7232068843987522,1.7298214557219525,0.35581841432225064,0.28435528398576454,0.26816367478798847,0.22629969418960244,0.3596764156813939,0.07881773399014778,0.41711229946524064,0.45147453083109923,0.07560137457044673
8.0,1.7199586909644458,1.7271585318506981,0.35134271099744246,0.2911345923384287,0.27641573402062364,0.24380574826560952,0.3126934984520124,0.05882352941176471,0.44187963726298435,0.4590325765054294,0.1422594142259414
9.0,1.7175496488201374,1.7251959625555544,0.3423913043478261,0.285598470302431,0.27671864226935433,0.26655202063628547,0.3768278965129359,0.08333333333333333,0.42044358727097403,0.39951865222623345,0.11363636363636363
10.0,1.715428508666097,1.7218514632205575,0.3423913043478261,0.2992167905977347,0.27978841957369005,0.315160567587752,0.3453136011275546,0.057692307692307696,0.4473085670962851,0.37007874015748027,0.14317673378076065
11.0,1.7139738773813054,1.7212002228717416,0.3391943734015345,0.30048293168866574,0.2785841820660923,0.277504105090312,0.30667765869744434,0.08625336927223719,0.4410876132930514,0.4303065355696935,0.12967581047381543
