Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1,3 F1,4 F1,5 F1,6 F1,7 F1,8 F1,9 F1
1.0,2.3085681869137673,2.3202201375713596,0.1077977030022164,0.16341438924612395,0.09779581386361193,0.12134831460674157,0.011126564673157162,0.031088082901554404,0.22136422136422138,0.045454545454545456,0.11632796075683251,0.10235580828594638,0.029962546816479405,0.11775362318840578,0.1811764705882353
2.0,2.1797740878597383,2.267358179216261,0.21478944186983678,0.2074811561970115,0.0,0.19593345656192238,0.20676691729323307,0.04519774011299435,0.32763700648202715,0.06751054852320675,0.06354515050167224,0.32551319648093846,0.0,0.07377049180327869,0.25161290322580643
3.0,2.1125517183734526,2.325835131979608,0.1694539592988112,0.17151743117900337,0.12381387220720683,0.043227665706051875,0.10336538461538462,0.024999999999999998,0.18424962852897475,0.06832298136645962,0.0018331805682859762,0.3565652676164805,0.07867132867132867,0.14585635359116023,0.23104693140794225
4.0,2.012818161902889,2.394820039922541,0.19464033850493653,0.1941394224193117,0.0,0.277992277992278,0.3070229956494717,0.0,0.3145009416195857,0.055555555555555546,0.0,0.2103658536585366,0.08687440982058546,0.1519903498190591,0.03536345776031435
5.0,1.9287529218581414,2.2652926057964176,0.2002820874471086,0.20714059739470767,0.1635809151392577,0.049999999999999996,0.28177641653905056,0.0505050505050505,0.2804503582395087,0.0707395498392283,0.08784313725490196,0.3224155578300921,0.06896551724137931,0.15827338129496402,0.26484018264840187
6.0,1.8361177379085172,2.2916870705493086,0.17368527100544026,0.2012222476526031,0.15001748638282494,0.05234159779614325,0.2999246420497362,0.0328879753340185,0.3267504488330341,0.08602150537634408,0.03773584905660378,0.1724137931034483,0.08310249307479223,0.15086206896551724,0.25813449023861174
7.0,1.7336927267812914,2.4093537547371606,0.20310296191819463,0.19215148801537107,0.16043275125525527,0.036161335187760775,0.33126934984520123,0.045845272206303724,0.23719676549865232,0.13953488372093026,0.06745362563237774,0.34503510531594783,0.09502262443438914,0.09059233449477352,0.2162162162162162
8.0,1.6433880879032996,2.403214211587782,0.21257304049969777,0.20044759110243357,0.17046700208235013,0.08322496749024708,0.22392344497607655,0.0501138952164009,0.2086438152011923,0.1020408163265306,0.24432432432432433,0.3194675540765391,0.05725190839694657,0.14647377938517178,0.2692055154300722
9.0,1.5382507178091234,2.334418143544878,0.20672980052387668,0.21422178339618272,0.18083846056509803,0.15350389321468297,0.27556325823223565,0.04897959183673469,0.30840258541089566,0.0851063829787234,0.23819978046103185,0.20283370618941088,0.08871745419479267,0.11764705882352941,0.2894308943089431
10.0,1.428830777252874,2.3722671270370483,0.20934918396131372,0.20798566837211205,0.1866849933580727,0.19858156028368795,0.2864157119476268,0.04454342984409799,0.2774274905422447,0.08088235294117647,0.25201938610662356,0.2652005174644243,0.0829406220546654,0.1658374792703151,0.21300138312586445
11.0,1.3241121724728615,2.4640722181889916,0.2542816844650413,0.20926369330892275,0.19206931984433556,0.21978021978021978,0.30757910228108903,0.04633204633204634,0.3075768942235559,0.07281553398058252,0.24986652429257872,0.32989690721649484,0.009389671361502346,0.13333333333333333,0.24412296564195302
12.0,1.2303823588355896,2.48471052306039,0.22869232319161797,0.19801228358525796,0.17638635792541651,0.10666666666666667,0.12307692307692307,0.04862236628849271,0.3181818181818182,0.08588957055214723,0.3001304915180513,0.3214670981661273,0.06734006734006735,0.138801261829653,0.2536873156342183
13.0,1.1457027023838413,2.4879420469333597,0.2238565383840419,0.2135954954029519,0.19127055709838986,0.22011661807580177,0.33612363168061815,0.05962059620596206,0.288698955365622,0.0956937799043062,0.15486432825943083,0.22566995768688292,0.08144796380090497,0.1809045226130653,0.26956521739130435
