Epoch,Training Loss,Validation Loss,Accuracy,Macro Accuracy,Macro-F1 Score,0 F1,1 F1,2 F1
40.0,0.09380333870649338,1.3615385293960571,0.3958333333333333,0.3958333333333333,0.39053776683087027,0.5142857142857142,0.3448275862068966,0.3125
20.0,0.38143622875213623,1.1248739957809448,0.4583333333333333,0.4583333333333333,0.4596053227866354,0.4444444444444445,0.45161290322580644,0.4827586206896552
9.0,0.5924186706542969,1.0597773790359497,0.5416666666666666,0.5416666666666666,0.5367405582922824,0.5714285714285714,0.41379310344827586,0.625
29.0,0.14175550639629364,1.354361891746521,0.3958333333333333,0.3958333333333333,0.3918074756784434,0.45714285714285713,0.26666666666666666,0.45161290322580644
12.0,0.4838501811027527,1.1461988687515259,0.4166666666666667,0.4166666666666667,0.41111111111111115,0.39999999999999997,0.3333333333333333,0.5
3.0,0.8343235850334167,1.201745629310608,0.3958333333333333,0.3958333333333333,0.38054695562435503,0.25,0.47058823529411764,0.4210526315789474
21.0,0.29955750703811646,1.1802653074264526,0.4583333333333333,0.4583333333333333,0.4579380139152435,0.45161290322580644,0.45161290322580644,0.47058823529411764
24.0,0.22172261774539948,1.1258821487426758,0.5625,0.5625,0.5543719211822661,0.742857142857143,0.4827586206896552,0.4375
20.0,0.24829377233982086,1.2031728029251099,0.4166666666666667,0.4166666666666667,0.41739596739596735,0.4166666666666667,0.37837837837837834,0.45714285714285713
32.0,0.1390230804681778,1.2028743028640747,0.5,0.5,0.49503145040670393,0.6470588235294118,0.42424242424242425,0.41379310344827586
2.0,1.1239501237869263,1.2913802862167358,0.4166666666666667,0.4166666666666667,0.38128654970760234,0.21052631578947367,0.45714285714285713,0.4761904761904762
25.0,0.19816531240940094,1.4061404466629028,0.3958333333333333,0.3958333333333333,0.39410919540229883,0.3448275862068966,0.39999999999999997,0.4375
39.0,0.12955568730831146,1.1885803937911987,0.4791666666666667,0.4791666666666667,0.4719887955182072,0.5294117647058824,0.35714285714285715,0.5294117647058824
12.0,0.5443693399429321,1.013480305671692,0.5208333333333334,0.5208333333333334,0.5150949268596327,0.5714285714285714,0.4444444444444444,0.5294117647058824
36.0,0.11248563230037689,1.3383160829544067,0.5,0.5,0.4968660968660969,0.5333333333333333,0.4444444444444444,0.5128205128205128
57.0,0.051489438861608505,1.4702993631362915,0.375,0.375,0.3699138914825189,0.47058823529411764,0.34285714285714286,0.2962962962962963
19.0,0.29060545563697815,1.0170797109603882,0.5625,0.5625,0.5615632127728901,0.5625,0.6060606060606061,0.5161290322580646
17.0,0.4277710020542145,1.247649073600769,0.4583333333333333,0.4583333333333333,0.42025518341307816,0.18181818181818182,0.5,0.5789473684210527
23.0,0.3017030358314514,1.1837010383605957,0.3958333333333333,0.3958333333333333,0.37689050211736236,0.13793103448275862,0.41379310344827586,0.5789473684210527
18.0,0.1666897088289261,1.0592594146728516,0.5,0.5,0.4924010217113665,0.4827586206896552,0.5499999999999999,0.4444444444444444
43.0,0.09278999269008636,1.1539162397384644,0.5,0.5,0.49240102171136657,0.4444444444444444,0.4827586206896552,0.5499999999999999
15.0,0.40630993247032166,1.2252535820007324,0.4375,0.4375,0.4285714285714286,0.35714285714285715,0.5,0.42857142857142855
29.0,0.1432783305644989,1.320791244506836,0.4166666666666667,0.4166666666666667,0.3867998433215824,0.17391304347826086,0.5,0.4864864864864864
17.0,0.43450605869293213,1.1588236093521118,0.4791666666666667,0.4791666666666667,0.4782386072708653,0.5333333333333333,0.5142857142857142,0.38709677419354843
61.0,0.06113991513848305,1.1554393768310547,0.4583333333333333,0.4583333333333333,0.462401795735129,0.4444444444444445,0.42424242424242425,0.5185185185185185
41.0,0.045631032437086105,1.386562466621399,0.3958333333333333,0.3958333333333333,0.39053776683087027,0.3125,0.5142857142857142,0.3448275862068966
32.0,0.15088263154029846,1.1739486455917358,0.4583333333333333,0.4583333333333333,0.45424836601307184,0.5294117647058824,0.5,0.3333333333333333
14.0,0.45041704177856445,1.2028272151947021,0.4375,0.4375,0.4321266968325792,0.5,0.38461538461538464,0.411764705882353
17.0,0.41121262311935425,1.0977410078048706,0.5208333333333334,0.5208333333333334,0.5223772159256029,0.5806451612903225,0.5,0.4864864864864864
13.0,0.3383086919784546,1.039239525794983,0.5416666666666666,0.5416666666666666,0.5275632775632776,0.5945945945945946,0.4166666666666667,0.5714285714285714
14.0,0.3599243760108948,1.007900595664978,0.5416666666666666,0.5416666666666666,0.5420430107526881,0.5499999999999999,0.56,0.5161290322580646
16.0,0.44731777906417847,1.069256067276001,0.5416666666666666,0.5416666666666666,0.5133867409729479,0.5777777777777777,0.2727272727272727,0.6896551724137931
15.0,0.336564838886261,1.0925390720367432,0.5,0.5,0.5101921470342523,0.6428571428571429,0.4666666666666667,0.4210526315789474
3.0,0.9561201333999634,1.1374359130859375,0.4583333333333333,0.4583333333333333,0.44688924218335985,0.4324324324324324,0.32,0.5882352941176471
23.0,0.24109819531440735,1.1615828275680542,0.5,0.5,0.49552271483305965,0.4827586206896552,0.5238095238095238,0.4800000000000001
30.0,0.14669592678546906,1.2621346712112427,0.4166666666666667,0.4166666666666667,0.4175268817204301,0.45,0.4800000000000001,0.3225806451612903
82.0,0.02459900639951229,1.0593942403793335,0.5625,0.5625,0.5526217461701332,0.6486486486486486,0.42857142857142855,0.5806451612903225
